Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Europe (incl. Turkey),Roundtrip Efficiency|Electricity|Energy Storage System|Lithium-Ion,%,0.95
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Finland>Estonia,Network|Electricity|Maximum Flow,MW,365.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Finland>Sweden,Network|Electricity|Maximum Flow,MW,1950.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,France>Belgium,Network|Electricity|Maximum Flow,MW,5241.405364
GENeSYS-MOD 3.1,Techno-Friendly 2.0,France>Germany,Network|Electricity|Maximum Flow,MW,9547.99513
GENeSYS-MOD 3.1,Techno-Friendly 2.0,France>Italy,Network|Electricity|Maximum Flow,MW,866.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,France>Spain,Network|Electricity|Maximum Flow,MW,5000.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,France>Switzerland,Network|Electricity|Maximum Flow,MW,3200.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,France>United Kingdom,Network|Electricity|Maximum Flow,MW,2000.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Austria,Network|Electricity|Maximum Flow,MW,2200.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Czech Republic,Network|Electricity|Maximum Flow,MW,1821.546854
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Denmark,Network|Electricity|Maximum Flow,MW,3100.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>France,Network|Electricity|Maximum Flow,MW,8260.79586
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Luxembourg,Network|Electricity|Maximum Flow,MW,980.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Norway,Network|Electricity|Maximum Flow,MW,1444.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Poland,Network|Electricity|Maximum Flow,MW,100.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Sweden,Network|Electricity|Maximum Flow,MW,353.958333
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>Switzerland,Network|Electricity|Maximum Flow,MW,3500.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Germany>The Netherlands,Network|Electricity|Maximum Flow,MW,2850.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Greece>Bulgaria,Network|Electricity|Maximum Flow,MW,500.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Greece>Italy,Network|Electricity|Maximum Flow,MW,500.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Greece>Non-EU-Balkans,Network|Electricity|Maximum Flow,MW,300.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Greece>Turkey,Network|Electricity|Maximum Flow,MW,1000.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Hungary>Austria,Network|Electricity|Maximum Flow,MW,800.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Hungary>Croatia,Network|Electricity|Maximum Flow,MW,1200.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Hungary>Non-EU-Balkans,Network|Electricity|Maximum Flow,MW,700.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Hungary>Romania,Network|Electricity|Maximum Flow,MW,400.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Hungary>Slovakia,Network|Electricity|Maximum Flow,MW,1595.861921
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Ireland>United Kingdom,Network|Electricity|Maximum Flow,MW,450.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Italy>Austria,Network|Electricity|Maximum Flow,MW,416.8375
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Italy>France,Network|Electricity|Maximum Flow,MW,1160.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Italy>Greece,Network|Electricity|Maximum Flow,MW,500.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Italy>Slovenia,Network|Electricity|Maximum Flow,MW,784.132566
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Italy>Switzerland,Network|Electricity|Maximum Flow,MW,1910.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Latvia>Estonia,Network|Electricity|Maximum Flow,MW,750.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Latvia>Lithuania,Network|Electricity|Maximum Flow,MW,1450.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Lithuania>Latvia,Network|Electricity|Maximum Flow,MW,1500.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Luxembourg>Germany,Network|Electricity|Maximum Flow,MW,980.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Non-EU-Balkans>Bulgaria,Network|Electricity|Maximum Flow,MW,350.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Non-EU-Balkans>Croatia,Network|Electricity|Maximum Flow,MW,1100.0
