Timestep,DolAmroth>Harad,RoGonDor>DolAmroth,RoGonDor>Harad
220,426,13200,5196
221,426,13200,5196
222,426,13200,5196
223,426,13200,5196
224,426,13200,5196
225,426,13200,5196
226,426,13200,5196
227,426,13200,5196
228,426,13200,5196
229,426,13200,5196
230,426,13200,5196
231,426,13200,5196
232,426,13200,5196
233,426,13200,5196
234,426,13200,5196
235,426,13200,5196
236,426,13200,5196
237,426,13200,5196
238,426,13200,5196
239,426,13200,5196
240,426,13200,5196
241,426,13200,5196
242,426,13200,5196
243,426,13200,5196
244,426,13200,5196
245,426,13200,5196
246,426,13200,5196
247,426,13200,5196
248,426,13200,5196
249,426,13200,5196
250,426,-662.7171442485487205,5196
251,426,-183.23419598313194001,5196
252,426,13200,5196
253,426,13200,5196
254,426,13200,5196
255,426,13200,5196
256,426,13200,5196
257,426,13200,5196
258,426,13200,5196
259,426,13200,5196
260,426,13200,5196
261,426,13200,5196
262,426,13200,5196
263,426,13200,5196
264,426,13200,5196
265,426,13200,5196
266,426,13200,5196
267,426,13200,5196
268,426,13200,5196
269,426,13200,5196
270,426,13200,5196
271,426,13200,5196
272,426,13200,5196
273,426,13200,5196
274,426,13200,5196
275,426,13200,5196
276,426,13200,5196
277,426,13200,5196
278,426,13200,5196
279,426,13200,5196
280,426,13200,5196
281,426,13200,5196
282,426,13200,5196
283,426,13200,5196
284,426,13200,5196
285,426,13200,5196
286,426,13200,5196
287,426,13200,5196
288,426,13200,5196
289,426,13200,5196
290,426,13200,5196
291,426,13200,5196
292,426,13200,5196
293,426,13200,5196
294,426,13200,5196
295,426,13200,5196
296,426,13200,5196
297,426,13200,5196
298,426,13200,5196
299,426,13200,5196
300,426,13200,5196
301,426,13200,5196
302,426,13200,5196
303,426,13200,5196
304,426,13200,5196
305,426,13200,5196
306,426,13200,5196
307,426,13200,5196
308,426,13200,5196
309,426,13200,5196
310,426,13200,5196
311,426,13200,5196
312,426,13200,5196
313,426,13200,5196
314,426,13200,5196
315,426,13200,5196
316,426,13200,5196
317,426,13200,5196
318,426,13200,5196
319,426,13200,5196
320,426,13200,5196
321,426,13200,5196
322,426,13200,5196
323,426,13200,5196
324,426,13200,5196
325,426,13200,5196
326,426,13200,5196
327,426,13200,5196
328,426,13200,5196
329,426,13200,5196
330,426,13200,5196
331,426,13200,5196
332,426,8608.8730050172307529,5196
333,426,-581.37969689021701925,5196
334,426,-11877.009689409125713,5196
335,426,1014.2014843411452603,5196
336,426,-12000,5196
337,426,10619.613617181945301,5196
338,426,13200,5196
339,426,-2622.3787703710331698,5196
340,426,-7972.7890549091171124,5196
341,426,6016.0365853691473603,5196
342,426,-1498.673803480094648,5196
343,426,-4357.8856010463423445,5196
344,426,-12000,5196
345,426,13200,5196
346,426,3738.3438742044017999,5196
347,426,11745.339040953906078,5196
348,426,-9851.9892268239127588,5196
349,426,13200,5196
350,426,13200,5196
351,426,2303.0480012824773439,5196
352,426,-3912.9478714520519134,5196
353,426,4117.1643808001099387,5196
354,426,-597.99289319590752712,5196
355,426,-7415.4027113505362649,5196
356,426,12587.087760314112529,5196
357,426,-5512.5347272573490045,5196
358,426,13200,5196
359,426,8580.933917027519783,5196
360,426,5031.3509944102697773,5196
361,426,-4260.0599544358119601,5196
362,426,-3120.5482278982235584,5196
363,426,13200,5196
364,426,13200,5196
365,426,13200,5196
366,426,13200,5196
367,-600,13200,5196
368,-600,13200,5196
369,-600,13200,5196
370,-600,13200,5196
371,-600,13200,5196
372,-600,13200,5196
373,-600,13200,5196
374,-600,13200,5196
375,-600,13200,5196
376,-600,13200,5196
377,-600,13200,5196
378,-600,13200,5196
379,-600,13200,5196
380,-600,13200,5196
381,-600,13200,5196
382,-600,13200,5196
383,-600,13200,5196
384,-600,13200,5196
385,-600,13200,5196
386,-600,13200,5196
387,-600,13200,5196
388,-600,13200,5196
389,-600,13200,5196
390,-600,13200,5196
391,-600,13200,5196
392,-600,13200,5196
393,-600,13200,5196
394,-600,13200,5196
395,-600,13200,5196
396,-600,13200,5196
397,-600,13200,5196
398,-600,13200,5196
399,-600,13200,5196
400,-600,13200,5196
401,-600,13200,5196
402,-600,13200,5196
403,-600,13200,5196
404,-600,13200,5196
405,-600,13200,5196
406,-600,13200,5196
407,-600,13200,5196
