Region,Sector,Technology,Mode_of_operation,Fuel,Timeslice,Type,Unit,PathwayScenario,Year,Value
DolAmroth,Power,RES_Hydro_Small,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2040,8.962169547386551
DolAmroth,Power,RES_Hydro_Small,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2045,8.962169547386551
DolAmroth,Power,RES_Hydro_Small,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2050,8.962169547386551
DolAmroth,Power,RES_PV_Rooftop_Commercial,1,Power,8,Production,PJ,Gondor_globalLimit_364,2050,6.809074696321947
DolAmroth,Power,RES_PV_Rooftop_Commercial,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2050,3.813631780906185
DolAmroth,Power,RES_PV_Rooftop_Commercial,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2050,4.204696623009571
DolAmroth,Power,RES_PV_Rooftop_Commercial,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2050,2.280062047654062e-5
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2018,2.7429432041697965
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2025,2.6014807914636187
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2030,8.241519905678494
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2035,25.172381151601034
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2040,15.979678918245781
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2045,35.09270504644884
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,8,Production,PJ,Gondor_globalLimit_364,2050,35.09270504644884
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2018,1.536269734607708
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2025,1.4570393579470788
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2030,4.61591679295926
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2035,14.098566551588103
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2040,19.654749171043076
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2045,19.654749171043076
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2050,19.654749171043076
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2018,1.6938048915676756
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2025,1.6064499196344477
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2030,5.089251104058392
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2035,15.544289164344072
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2040,21.670224660742615
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2045,21.670224660742615
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2050,21.670224660742615
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2018,9.184920092118306e-6
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2025,8.711224189567611e-6
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2030,2.759725453162298e-5
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2035,8.429132220248775e-5
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2040,0.00011751015886071427
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2045,0.00011751015886071427
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2050,0.00011751015886071427
DolAmroth,Power,RES_PV_Utility_Inf,1,Power,8,Production,PJ,Gondor_globalLimit_364,2040,23.201523097004497
