Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2018,149.07300844998971
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2025,122.54996930014468
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2030,85.18619163245688
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2035,46.68346844985562
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2040,28.47740782811229
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2045,4.875860815159962
Gondor,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2050,3.7344779833289325
Gondor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2025,3.025249917623833
Gondor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2030,1.7631672808400456
Gondor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2035,0.8559135802179273
Gondor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2040,0.3322440580481129
Gondor,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2045,0.06445344907417036
Gondor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2018,27.961479371558212
Gondor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2025,24.45685754177005
Gondor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2030,23.829808955833826
Gondor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2035,23.177217750028575
Gondor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2040,18.303492689272517
Gondor,Industry,CO2,HLI_Gas_Boiler,Emissions,Gondor_globalLimit_364,2045,8.57951125077722
Gondor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2018,1.6646292152856026
Gondor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2025,1.158347311888908
Gondor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2030,0.6939083570021735
Gondor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2035,0.3465732854874302
Gondor,Industry,CO2,HLI_Hardcoal,Emissions,Gondor_globalLimit_364,2040,0.1385611558520958
Gondor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2018,0.11651768558751058
Gondor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2025,0.08116776953348209
Gondor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2030,0.049017784966476144
Gondor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2035,0.024467039879126826
Gondor,Industry,CO2,HLI_Lignite,Emissions,Gondor_globalLimit_364,2040,0.0014242091694786339
Gondor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2018,0.00032924610578058064
Gondor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2025,0.000858224916760368
Gondor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2030,0.002484530869677639
Gondor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2035,0.005995533636006322
Gondor,Industry,CO2,HLI_Oil_Boiler,Emissions,Gondor_globalLimit_364,2040,0.014310827756604087
Gondor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2018,138.05373067614278
Gondor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2025,75.5035322143112
Gondor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2030,24.027476763136367
Gondor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2035,20.433675559817473
Gondor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2040,38.01329963498496
Gondor,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2045,72.14394044282095
Gondor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2018,24.139316460715392
Gondor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2025,67.79861079845388
Gondor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2030,169.51736939179295
Gondor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2035,163.1176372853348
Gondor,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2040,107.19015097706755
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2018,54.380699912807636
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2025,41.08733813403689
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2030,21.074818269677227
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2035,11.995983525717559
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2040,3.7602619748881105
Rohan,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2045,0.18725822852392476
Rohan,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2025,0.702119956411514
